i;j;player;rival;seed;pScore;rScore;winner;secs;pFled;rFled;pHits;rHits;pKnocked;rKnocked;pCol;rCol;detail
0;0;Muralla;Muralla;4242;14;19;Rival;10;10;6;5;9;9;5;18;22;P:GuaC=0/0/5/5/0 P:RecC=8/11/0/3/4 P:RecC=6/7/0/1/6 R:GuaC=0/0/9/5/0 R:RecC=8/10/0/0/4 R:RecC=11/12/0/0/2 
0;1;Muralla;Fortin;4242;13;7;Player;10;6;4;8;6;6;8;19;8;P:GuaC=0/0/8/3/0 P:RecC=7/8/0/1/4 P:RecC=6/11/0/2/2 R:GuaC=0/0/5/3/0 R:CazV=0/0/1/4/0 R:RecC=7/8/0/1/4 
0;2;Muralla;Jauria;4242;15;13;Player;10;9;0;6;5;5;6;19;18;P:GuaC=0/1/6/2/0 P:RecC=7/7/0/3/5 P:RecC=8/11/0/0/4 R:CazC=0/0/1/5/0 R:CazV=0/2/4/1/0 R:RecV=13/16/0/0/0 
0;3;Muralla;Hormiguero;4242;32;21;Player;9;0;1;3;0;0;3;32;26;P:GuaC=2/2/3/0/0 P:RecC=15/15/0/0/0 P:RecC=15/15/0/0/0 R:RecV=3/8/0/1/1 R:RecV=9/9/0/1/0 R:RecV=9/9/0/1/0 
0;4;Muralla;HormigueroSenuelo;4242;27;17;Player;9;2;5;3;0;0;3;29;21;P:GuaC=2/2/3/0/0 P:RecC=13/13/0/0/1 P:RecC=12/14/0/0/1 R:RecV=8/10/0/0/2 R:RecV=9/11/0/0/2 R:SeñC=0/0/0/3/1 
0;5;Muralla;Senuelos;4242;20;13;Player;9;5;5;5;0;0;5;24;15;P:GuaC=0/0/5/0/0 P:RecC=10/13/0/0/2 P:RecC=10/11/0/0/3 R:SeñC=0/0/0/2/1 R:SeñV=0/0/0/3/3 R:RecV=13/15/0/0/1 
0;6;Muralla;Engano;4242;24;8;Player;9;1;13;6;0;0;6;27;13;P:GuaC=0/0/6/0/0 P:RecC=12/15/0/0/0 P:RecC=12/12/0/0/1 R:SeñC=0/0/0/1/3 R:RecC=3/7/0/3/5 R:RecC=5/6/0/2/5 
0;7;Muralla;Emboscada;4242;21;8;Player;10;2;6;7;2;2;7;23;13;P:GuaC=0/0/7/0/0 P:RecC=9/11/0/2/1 P:RecC=12/12/0/0/1 R:CazV=0/0/2/4/0 R:SeñV=2/4/0/1/0 R:RecC=6/9/0/2/6 
0;8;Muralla;Codicia;4242;30;5;Player;10;0;25;6;0;0;6;30;10;P:GuaC=0/0/6/0/0 P:RecC=15/15/0/0/0 P:RecC=15/15/0/0/0 R:RecC=3/4/0/3/7 R:RecC=1/1/0/2/9 R:RecC=1/5/0/1/9 
0;9;Muralla;Mixta;4242;14;13;Player;10;10;0;6;9;9;6;15;16;P:GuaC=0/0/6/5/0 P:RecC=6/7/0/2/5 P:RecC=8/8/0/2/5 R:GuaC=0/0/7/3/0 R:CazC=0/0/2/3/0 R:RecV=13/16/0/0/0 
1;0;Fortin;Muralla;4242;15;4;Player;10;1;9;11;5;5;11;17;18;P:GuaC=0/0/7/5/0 P:CazV=0/2/4/0/0 P:RecC=15/15/0/0/1 R:GuaC=0/0/5/3/0 R:RecC=4/8/0/5/3 R:RecC=0/10/0/3/6 
1;1;Fortin;Fortin;4242;7;7;None;10;4;3;9;7;7;9;11;10;P:GuaC=0/0/7/4/0 P:CazV=0/2/2/1/0 P:RecC=7/9/0/2/4 R:GuaC=0/0/5/3/0 R:CazV=0/3/2/3/0 R:RecC=7/7/0/3/3 
1;2;Fortin;Jauria;4242;12;0;Player;10;5;7;14;2;2;14;12;2;P:GuaC=2/2/7/0/0 P:CazV=0/0/7/2/0 P:RecC=10/10/0/0/5 R:CazC=0/0/1/4/0 R:CazV=0/0/1/5/0 R:RecV=0/2/0/5/7 
1;3;Fortin;Hormiguero;4242;17;12;Player;9;0;19;5;0;0;5;18;12;P:GuaC=2/2/0/0/0 P:CazV=0/1/5/0/0 P:RecC=15/15/0/0/0 R:RecV=4/4/0/1/7 R:RecV=5/5/0/2/6 R:RecV=3/3/0/2/6 
1;4;Fortin;HormigueroSenuelo;4242;21;21;None;9;0;4;3;0;0;3;21;21;P:GuaC=0/0/3/0/0 P:CazV=6/6/0/0/0 P:RecC=15/15/0/0/0 R:RecV=9/9/0/0/1 R:RecV=12/12/0/0/0 R:SeñC=0/0/0/3/3 
1;5;Fortin;Senuelos;4242;8;3;Player;10;5;5;10;0;0;10;13;8;P:GuaC=0/0/6/0/0 P:CazV=0/2/4/0/0 P:RecC=8/11/0/0/5 R:SeñC=0/1/0/4/0 R:SeñV=0/1/0/3/0 R:RecV=3/6/0/3/5 
1;6;Fortin;Engano;4242;12;7;Player;10;1;13;10;0;0;10;17;12;P:GuaC=0/0/5/0/0 P:CazV=0/2/5/0/0 P:RecC=12/15/0/0/1 R:SeñC=0/0/0/5/0 R:RecC=3/5/0/1/8 R:RecC=4/7/0/4/5 
1;7;Fortin;Emboscada;4242;11;8;Player;10;3;7;7;2;2;7;16;12;P:GuaC=2/2/4/0/0 P:CazV=0/2/3/1/0 P:RecC=9/12/0/1/3 R:CazV=0/4/2/3/0 R:SeñV=2/2/0/1/0 R:RecC=6/6/0/3/7 
1;8;Fortin;Codicia;4242;15;11;Player;10;0;23;7;0;0;7;17;12;P:GuaC=0/0/5/0/0 P:CazV=0/2/2/0/0 P:RecC=15/15/0/0/0 R:RecC=3/3/0/2/8 R:RecC=5/6/0/3/6 R:RecC=3/3/0/2/9 
