i;j;player;rival;seed;pScore;rScore;winner;secs;pFled;rFled;pHits;rHits;pKnocked;rKnocked;pCol;rCol;detail
0;0;Muralla;Muralla;4242;18;26;Rival;10;3;3;3;5;5;3;24;28;P:GuaC=0/0/3/2/0 P:RecC=12/14/0/1/1 P:RecC=6/10/0/2/2 R:GuaC=0/2/5/3/0 R:RecC=14/14/0/0/1 R:RecC=12/12/0/0/2 
0;1;Muralla;Fortin;4242;12;10;Player;10;10;3;6;7;7;6;16;15;P:GuaC=0/0/6/3/0 P:RecC=6/10/0/2/4 P:RecC=6/6/0/2/6 R:GuaC=0/0/5/4/0 R:CazV=0/2/2/2/0 R:RecC=10/13/0/0/3 
0;2;Muralla;Jauria;4242;18;13;Player;10;6;0;6;4;4;6;18;18;P:GuaC=0/0/6/0/0 P:RecC=9/9/0/1/4 P:RecC=9/9/0/3/2 R:CazC=0/0/1/4/0 R:CazV=0/2/3/2/0 R:RecV=13/16/0/0/0 
0;3;Muralla;Hormiguero;4242;32;26;Player;9;0;2;2;0;0;2;32;28;P:GuaC=2/2/2/0/0 P:RecC=15/15/0/0/0 P:RecC=15/15/0/0/0 R:RecV=9/10/0/1/1 R:RecV=8/8/0/1/0 R:RecV=9/10/0/0/1 
0;4;Muralla;HormigueroSenuelo;4242;24;17;Player;10;4;1;8;0;0;8;27;23;P:GuaC=0/1/8/0/0 P:RecC=12/12/0/0/2 P:RecC=12/14/0/0/2 R:RecV=8/11/0/2/1 R:RecV=9/12/0/2/0 R:SeñC=0/0/0/4/0 
0;5;Muralla;Senuelos;4242;23;15;Player;9;6;3;4;0;0;4;27;18;P:GuaC=0/0/4/0/0 P:RecC=11/12/0/0/4 P:RecC=12/15/0/0/2 R:SeñC=0/0/0/4/2 R:SeñV=2/2/0/0/1 R:RecV=13/16/0/0/0 
0;6;Muralla;Engano;4242;24;9;Player;9;2;15;5;0;0;5;30;10;P:GuaC=0/1/5/0/0 P:RecC=12/14/0/0/1 P:RecC=12/15/0/0/1 R:SeñC=0/0/0/3/2 R:RecC=5/5/0/0/7 R:RecC=4/5/0/2/6 
0;7;Muralla;Emboscada;4242;15;14;Player;10;5;3;6;5;5;6;20;14;P:GuaC=0/0/6/0/0 P:RecC=9/11/0/3/2 P:RecC=6/9/0/2/3 R:CazV=0/0/5/4/0 R:SeñV=2/2/0/2/1 R:RecC=12/12/0/0/2 
0;8;Muralla;Codicia;4242;27;8;Player;9;0;19;5;0;0;5;28;13;P:GuaC=0/0/5/0/0 P:RecC=12/13/0/0/0 P:RecC=15/15/0/0/0 R:RecC=5/6/0/1/7 R:RecC=1/3/0/2/7 R:RecC=2/4/0/2/5 
0;9;Muralla;Mixta;4242;13;13;None;10;11;0;7;7;7;7;16;16;P:GuaC=0/0/7/5/0 P:RecC=8/8/0/0/6 P:RecC=5/8/0/2/5 R:GuaC=0/0/5/3/0 R:CazC=0/0/2/4/0 R:RecV=13/16/0/0/0 
1;0;Fortin;Muralla;4242;9;10;Rival;10;1;9;9;8;8;9;14;14;P:GuaC=0/0/7/3/0 P:CazV=0/2/2/3/0 P:RecC=9/12/0/2/1 R:GuaC=0/0/8/4/0 R:RecC=4/7/0/4/5 R:RecC=6/7/0/1/4 
1;1;Fortin;Fortin;4242;3;6;Rival;10;4;6;10;8;8;10;10;8;P:GuaC=0/0/7/5/0 P:CazV=0/2/3/0/0 P:RecC=3/8/0/3/4 R:GuaC=0/0/6/5/0 R:CazV=0/2/2/2/0 R:RecC=6/6/0/3/6 
1;2;Fortin;Jauria;4242;12;9;Player;10;4;2;9;2;2;9;12;12;P:GuaC=0/0/6/0/0 P:CazV=2/2/3/1/0 P:RecC=10/10/0/1/4 R:CazC=0/0/1/2/0 R:CazV=2/2/1/4/0 R:RecV=7/10/0/3/2 
1;3;Fortin;Hormiguero;4242;17;8;Player;10;0;17;9;0;0;9;19;13;P:GuaC=2/4/0/0/0 P:CazV=0/0/9/0/0 P:RecC=15/15/0/0/0 R:RecV=1/2/0/2/8 R:RecV=4/6/0/4/4 R:RecV=3/5/0/3/5 
