i;j;player;rival;seed;pScore;rScore;winner;secs;pFled;rFled;pHits;rHits;pKnocked;rKnocked;pCol;rCol;detail
0;0;Muralla;Muralla;4242;14;14;None;10;7;8;6;7;7;6;22;16;P:GuaC=0/0/6/5/0 P:RecC=7/9/0/1/4 P:RecC=7/13/0/1/3 R:GuaC=0/0/7/4/0 R:RecC=8/8/0/1/4 R:RecC=6/8/0/1/4 
0;1;Muralla;Fortin;4242;11;9;Player;10;10;3;7;8;8;7;13;13;P:GuaC=0/0/7/3/0 P:RecC=6/6/0/2/6 P:RecC=5/7/0/3/4 R:GuaC=0/0/6/4/0 R:CazV=0/2/2/1/0 R:RecC=9/11/0/2/3 
0;2;Muralla;Jauria;4242;16;13;Player;10;7;0;8;4;4;8;16;16;P:GuaC=0/0/8/0/0 P:RecC=9/9/0/3/2 P:RecC=7/7/0/1/5 R:CazC=0/0/2/4/0 R:CazV=0/0/2/4/0 R:RecV=13/16/0/0/0 
0;3;Muralla;Hormiguero;4242;32;22;Player;9;0;8;1;0;0;1;34;24;P:GuaC=2/4/1/0/0 P:RecC=15/15/0/0/0 P:RecC=15/15/0/0/0 R:RecV=4/6/0/1/4 R:RecV=9/9/0/0/2 R:RecV=9/9/0/0/2 
0;4;Muralla;HormigueroSenuelo;4242;28;17;Player;9;2;3;4;0;0;4;31;24;P:GuaC=2/2/4/0/0 P:RecC=12/15/0/0/1 P:RecC=14/14/0/0/1 R:RecV=8/11/0/1/0 R:RecV=9/12/0/0/2 R:SeñC=0/1/0/3/1 
0;5;Muralla;Senuelos;4242;22;13;Player;9;6;4;5;0;0;5;24;18;P:GuaC=0/0/5/0/0 P:RecC=9/11/0/0/4 P:RecC=13/13/0/0/2 R:SeñC=0/0/0/1/3 R:SeñV=0/2/0/4/1 R:RecV=13/16/0/0/0 
0;6;Muralla;Engano;4242;24;9;Player;9;2;16;5;0;0;5;30;9;P:GuaC=0/0/5/0/0 P:RecC=12/15/0/0/1 P:RecC=12/15/0/0/1 R:SeñC=0/0/0/5/1 R:RecC=3/3/0/0/8 R:RecC=6/6/0/0/7 
0;7;Muralla;Emboscada;4242;19;5;Player;10;11;6;7;1;1;7;19;9;P:GuaC=0/0/7/0/0 P:RecC=10/10/0/0/5 P:RecC=9/9/0/1/6 R:CazV=3/3/1/0/0 R:SeñV=0/2/0/4/0 R:RecC=2/4/0/3/6 
0;8;Muralla;Codicia;4242;30;8;Player;9;0;22;6;0;0;6;30;8;P:GuaC=0/0/6/0/0 P:RecC=15/15/0/0/0 P:RecC=15/15/0/0/0 R:RecC=5/5/0/1/7 R:RecC=1/1/0/3/8 R:RecC=2/2/0/2/7 
0;9;Muralla;Mixta;4242;6;18;Rival;10;10;0;8;11;11;8;9;21;P:GuaC=0/0/8/5/0 P:RecC=2/4/0/4/5 P:RecC=4/5/0/2/5 R:GuaC=0/0/5/5/0 R:CazC=2/5/6/3/0 R:RecV=16/16/0/0/0 
