i;j;player;rival;seed;pScore;rScore;winner;secs;pFled;rFled;pHits;rHits;pKnocked;rKnocked;pCol;rCol;detail
0;0;Muralla;Muralla;4242;22;18;Player;10;4;7;7;4;4;7;26;21;P:GuaC=0/0/7/4/0 P:RecC=12/14/0/0/1 P:RecC=10/12/0/0/3 R:GuaC=0/0/4/5/0 R:RecC=9/10/0/1/4 R:RecC=9/11/0/1/3 
0;1;Muralla;Fortin;4242;22;8;Player;10;6;4;8;4;4;8;25;11;P:GuaC=0/0/8/4/0 P:RecC=11/14/0/0/3 P:RecC=11/11/0/0/3 R:GuaC=0/0/4/5/0 R:CazV=2/3/0/2/0 R:RecC=6/8/0/1/4 
0;2;Muralla;Jauria;4242;14;13;Player;10;7;0;6;4;4;6;21;16;P:GuaC=0/0/6/0/0 P:RecC=9/10/0/1/3 P:RecC=5/11/0/3/4 R:CazC=0/0/0/4/0 R:CazV=0/0/4/2/0 R:RecV=13/16/0/0/0 
0;3;Muralla;Hormiguero;4242;32;19;Player;9;0;3;2;0;0;2;32;29;P:GuaC=2/2/2/0/0 P:RecC=15/15/0/0/0 P:RecC=15/15/0/0/0 R:RecV=8/8/0/0/1 R:RecV=4/10/0/1/1 R:RecV=7/11/0/1/1 
0;4;Muralla;HormigueroSenuelo;4242;24;23;Player;9;5;4;4;0;0;4;27;23;P:GuaC=0/2/4/0/0 P:RecC=12/12/0/0/3 P:RecC=12/13/0/0/2 R:RecV=11/11/0/0/1 R:RecV=12/12/0/0/1 R:SeñC=0/0/0/4/2 
0;5;Muralla;Senuelos;4242;30;15;Player;9;1;2;5;0;0;5;31;20;P:GuaC=0/0/5/0/0 P:RecC=15/15/0/0/1 P:RecC=15/16/0/0/0 R:SeñC=0/0/0/5/1 R:SeñV=2/4/0/0/0 R:RecV=13/16/0/0/1 
0;6;Muralla;Engano;4242;30;23;Player;9;1;6;3;0;0;3;33;26;P:GuaC=2/3/3/0/0 P:RecC=13/14/0/0/1 P:RecC=15/16/0/0/0 R:SeñC=2/3/0/3/1 R:RecC=12/13/0/0/2 R:RecC=9/10/0/0/3 
0;7;Muralla;Emboscada;4242;22;13;Player;10;3;3;6;2;2;6;23;13;P:GuaC=0/0/6/0/0 P:RecC=12/12/0/1/1 P:RecC=10/11/0/1/2 R:CazV=3/3/2/0/0 R:SeñV=0/0/0/6/0 R:RecC=10/10/0/0/3 
0;8;Muralla;Codicia;4242;27;19;Player;9;0;13;3;0;0;3;31;26;P:GuaC=0/1/3/0/0 P:RecC=12/14/0/0/0 P:RecC=15/16/0/0/0 R:RecC=4/8/0/2/5 R:RecC=9/10/0/0/3 R:RecC=6/8/0/1/5 
0;9;Muralla;Mixta;4242;10;17;Rival;10;5;0;6;9;9;6;21;20;P:GuaC=0/0/6/2/0 P:RecC=6/12/0/3/3 P:RecC=4/9/0/4/2 R:GuaC=0/0/6/5/0 R:CazC=4/4/3/1/0 R:RecV=13/16/0/0/0 
1;0;Fortin;Muralla;4242;14;18;Rival;10;2;5;6;5;5;6;16;24;P:GuaC=0/0/5/4/0 P:CazV=4/6/1/0/0 P:RecC=10/10/0/1/2 R:GuaC=0/0/5/3/0 R:RecC=12/12/0/1/2 R:RecC=6/12/0/2/3 
1;1;Fortin;Fortin;4242;9;6;Player;10;3;3;9;5;5;9;13;9;P:GuaC=0/0/7/3/0 P:CazV=2/3/2/0/0 P:RecC=7/10/0/2/3 R:GuaC=0/0/3/3/0 R:CazV=0/2/2/2/0 R:RecC=6/7/0/4/3 
1;2;Fortin;Jauria;4242;9;5;Player;10;3;8;9;3;3;9;9;7;P:GuaC=0/0/5/0/0 P:CazV=0/0/4/0/0 P:RecC=9/9/0/3/3 R:CazC=0/1/2/3/0 R:CazV=3/3/1/2/0 R:RecV=2/3/0/4/8 
1;3;Fortin;Hormiguero;4242;21;11;Player;10;0;20;7;0;0;7;21;11;P:GuaC=6/6/1/0/0 P:CazV=0/0/6/0/0 P:RecC=15/15/0/0/0 R:RecV=2/2/0/2/8 R:RecV=5/5/0/3/6 R:RecV=4/4/0/2/6 
