i;j;player;rival;seed;pScore;rScore;winner;secs;pFled;rFled;pHits;rHits;pKnocked;rKnocked;pCol;rCol;detail
0;0;Muralla;Muralla;4242;18;18;None;10;7;10;6;7;7;6;20;19;P:GuaC=0/0/6/4/0 P:RecC=11/11/0/0/4 P:RecC=7/9/0/3/3 R:GuaC=0/0/7/6/0 R:RecC=8/9/0/0/5 R:RecC=10/10/0/0/5 
0;1;Muralla;Fortin;4242;9;7;Player;10;10;2;8;9;9;8;16;10;P:GuaC=0/0/8/4/0 P:RecC=6/10/0/2/4 P:RecC=3/6/0/3/6 R:GuaC=0/0/6/4/0 R:CazV=0/2/3/1/0 R:RecC=7/8/0/3/2 
0;2;Muralla;Jauria;4242;12;13;Rival;10;8;0;5;5;5;5;16;18;P:GuaC=0/0/5/0/0 P:RecC=6/9/0/2/4 P:RecC=6/7/0/3/4 R:CazC=0/0/2/3/0 R:CazV=0/2/3/2/0 R:RecV=13/16/0/0/0 
0;3;Muralla;Hormiguero;4242;30;18;Player;9;0;6;3;0;0;3;31;24;P:GuaC=0/1/3/0/0 P:RecC=15/15/0/0/0 P:RecC=15/15/0/0/0 R:RecV=8/9/0/1/2 R:RecV=6/9/0/1/1 R:RecV=4/6/0/1/3 
0;4;Muralla;HormigueroSenuelo;4242;26;15;Player;9;1;7;6;0;0;6;30;20;P:GuaC=2/2/6/0/0 P:RecC=12/15/0/0/0 P:RecC=12/13/0/0/1 R:RecV=5/8/0/1/3 R:RecV=10/12/0/1/2 R:SeñC=0/0/0/4/2 
0;5;Muralla;Senuelos;4242;28;15;Player;9;3;2;4;0;0;4;28;16;P:GuaC=2/2/4/0/0 P:RecC=15/15/0/0/0 P:RecC=11/11/0/0/3 R:SeñC=0/0/0/4/0 R:SeñV=2/2/0/0/1 R:RecV=13/14/0/0/1 
0;6;Muralla;Engano;4242;24;12;Player;9;3;12;6;0;0;6;25;15;P:GuaC=0/0/6/0/0 P:RecC=12/12/0/0/2 P:RecC=12/13/0/0/1 R:SeñC=0/0/0/4/3 R:RecC=7/9/0/1/3 R:RecC=5/6/0/1/6 
0;7;Muralla;Emboscada;4242;10;8;Player;10;7;4;8;1;1;8;21;13;P:GuaC=0/0/8/0/0 P:RecC=3/11/0/1/4 P:RecC=7/10/0/0/3 R:CazV=0/2/1/2/0 R:SeñV=0/0/0/6/1 R:RecC=8/11/0/0/3 
0;8;Muralla;Codicia;4242;30;1;Player;9;0;28;5;0;0;5;30;5;P:GuaC=0/0/5/0/0 P:RecC=15/15/0/0/0 P:RecC=15/15/0/0/0 R:RecC=0/1/0/1/10 R:RecC=1/3/0/2/8 R:RecC=0/1/0/2/10 
0;9;Muralla;Mixta;4242;14;13;Player;10;8;0;5;7;7;5;16;16;P:GuaC=0/0/5/3/0 P:RecC=7/9/0/3/3 P:RecC=7/7/0/1/5 R:GuaC=0/0/4/4/0 R:CazC=0/0/3/1/0 R:RecV=13/16/0/0/0 
1;0;Fortin;Muralla;4242;8;2;Player;10;2;13;13;5;5;13;12;10;P:GuaC=0/0/8/2/0 P:CazV=0/2/5/1/0 P:RecC=8/10/0/2/2 R:GuaC=0/0/5/4/0 R:RecC=1/7/0/6/5 R:RecC=1/3/0/3/8 
1;1;Fortin;Fortin;4242;9;6;Player;10;5;4;8;4;4;8;11;16;P:GuaC=0/0/6/4/0 P:CazV=0/2/2/0/0 P:RecC=9/9/0/0/5 R:GuaC=0/0/4/3/0 R:CazV=3/5/0/2/0 R:RecC=3/11/0/3/4 
1;2;Fortin;Jauria;4242;7;11;Rival;10;2;1;7;5;5;7;12;16;P:GuaC=0/2/4/0/0 P:CazV=0/0/3/3/0 P:RecC=7/10/0/2/2 R:CazC=0/0/3/3/0 R:CazV=0/3/2/3/0 R:RecV=11/13/0/1/1 
