i;j;player;rival;seed;pScore;rScore;winner;secs;pFled;rFled;pHits;rHits;pKnocked;rKnocked;pCol;rCol;detail
0;0;Muralla;Muralla;4242;21;15;Player;9;0;3;5;6;6;5;26;25;P:GuaC=0/0/5/2/0 P:RecC=12/14/0/1/0 P:RecC=9/12/0/3/0 R:GuaC=0/0/6/2/0 R:RecC=9/11/0/0/2 R:RecC=6/14/0/3/1 
0;1;Muralla;MurallaVetas;4242;26;18;Player;9;4;4;1;1;1;1;28;19;P:GuaC=2/3/1/1/0 P:RecC=12/12/0/0/2 P:RecC=12/13/0/0/2 R:GuaV=2/2/1/1/0 R:RecV=9/9/0/0/2 R:RecV=7/8/0/0/2 
0;2;Muralla;Hormiguero;4242;34;23;Player;9;0;3;0;0;0;0;36;27;P:GuaC=4/4/0/0/0 P:RecC=15/16/0/0/0 P:RecC=15/16/0/0/0 R:RecV=9/10/0/0/1 R:RecV=9/9/0/0/1 R:RecV=5/8/0/0/1 
0;3;Muralla;HormigueroSenuelo;4242;26;17;Player;9;2;5;5;0;0;5;27;18;P:GuaC=0/0/5/0/0 P:RecC=13/13/0/0/1 P:RecC=13/14/0/0/1 R:RecV=7/7/0/0/3 R:RecV=10/11/0/0/1 R:SeñC=0/0/0/5/1 
0;4;Muralla;Jauria;4242;15;15;None;10;5;0;5;5;5;5;21;22;P:GuaC=0/1/5/1/0 P:RecC=8/11/0/2/2 P:RecC=7/9/0/2/3 R:CazC=0/2/1/3/0 R:CazV=2/5/4/2/0 R:RecV=13/15/0/0/0 
0;5;Muralla;JauriaCentro;4242;18;9;Player;9;7;2;6;3;3;6;19;16;P:GuaC=0/0/6/0/0 P:RecC=9/9/0/1/4 P:RecC=9/10/0/2/3 R:CazC=0/2/1/2/0 R:CazC=3/3/2/1/0 R:RecC=6/11/0/3/2 
0;6;Muralla;Emboscada;4242;28;5;Player;9;3;6;7;0;0;7;28;11;P:GuaC=0/0/7/0/0 P:RecC=13/13/0/0/3 P:RecC=15/15/0/0/0 R:CazV=2/3/0/2/0 R:SeñV=0/2/0/2/1 R:RecC=3/6/0/3/5 
0;7;Muralla;Mixta;4242;9;15;Rival;10;9;0;6;9;9;6;14;18;P:GuaC=0/0/6/3/0 P:RecC=3/6/0/5/4 P:RecC=6/8/0/1/5 R:GuaC=0/0/6/3/0 R:CazC=2/2/3/3/0 R:RecV=13/16/0/0/0 
0;8;Muralla;Codicia;4242;29;10;Player;9;0;19;5;0;0;5;30;17;P:GuaC=0/0/5/0/0 P:RecC=15/15/0/0/0 P:RecC=14/15/0/0/0 R:RecC=2/4/0/2/8 R:RecC=1/4/0/3/5 R:RecC=7/9/0/0/6 
0;9;Muralla;Escolta;4242;21;5;Player;10;2;3;7;2;2;7;28;17;P:GuaC=0/0/7/0/0 P:RecC=9/13/0/2/0 P:RecC=12/15/0/0/2 R:CazC=1/2/1/2/0 R:CazV=3/5/1/0/0 R:RecC=1/10/0/5/3 
0;10;Muralla;Senuelos;4242;23;15;Player;9;7;4;4;0;0;4;23;19;P:GuaC=0/0/4/0/0 P:RecC=10/10/0/0/4 P:RecC=13/13/0/0/3 R:SeñC=0/1/0/2/2 R:SeñV=2/2/0/2/2 R:RecV=13/16/0/0/0 
0;11;Muralla;DobleGuardia;4242;17;10;Player;10;5;2;7;6;6;7;22;20;P:GuaC=0/0/7/4/0 P:RecC=10/10/0/0/3 P:RecC=7/12/0/2/2 R:GuaC=0/0/6/3/0 R:GuaV=7/8/0/0/0 R:RecC=3/12/0/4/2 
0;12;Muralla;ContraJauria;4242;25;18;Player;9;4;0;3;4;4;3;27;19;P:GuaC=2/2/3/1/0 P:RecC=11/11/0/1/2 P:RecC=12/14/0/2/2 R:GuaV=3/4/2/1/0 R:CazV=2/2/2/2/0 R:RecV=13/13/0/0/0 
0;13;Muralla;Fortin;4242;14;9;Player;10;13;2;6;7;7;6;15;17;P:GuaC=0/0/6/6/0 P:RecC=7/8/0/0/6 P:RecC=7/7/0/1/7 R:GuaC=0/0/6/4/0 R:CazV=0/4/1/1/0 R:RecC=9/13/0/1/2 
0;14;Muralla;Engano;4242;27;10;Player;10;0;9;6;0;0;6;31;16;P:GuaC=0/0/6/0/0 P:RecC=15/17/0/0/0 P:RecC=12/14/0/0/0 R:SeñC=0/0/0/5/1 R:RecC=7/8/0/0/4 R:RecC=3/8/0/1/4 
0;15;Muralla;Rebano;4242;27;19;Player;9;2;5;4;0;0;4;27;26;P:GuaC=0/0/4/0/0 P:RecC=12/12/0/0/2 P:RecC=15/15/0/0/0 R:RecC=6/9/0/2/3 R:RecV=13/15/0/0/0 R:SeñV=0/2/0/2/2 
1;0;MurallaVetas;Muralla;4242;23;24;Rival;9;1;4;2;2;2;2;24;31;P:GuaV=2/2/2/2/0 P:RecV=12/13/0/0/0 P:RecV=9/9/0/0/1 R:GuaC=2/2/2/1/0 R:RecC=12/17/0/1/2 R:RecC=10/12/0/0/2 
1;1;MurallaVetas;MurallaVetas;4242;17;19;Rival;9;0;1;0;0;0;0;17;19;P:GuaV=4/4/0/0/0 P:RecV=7/7/0/0/0 P:RecV=6/6/0/0/0 R:GuaV=4/4/0/0/0 R:RecV=6/6/0/0/0 R:RecV=9/9/0/0/1 
1;2;MurallaVetas;Hormiguero;4242;26;20;Player;9;0;0;0;0;0;0;26;20;P:GuaV=6/6/0/0/0 P:RecV=11/11/0/0/0 P:RecV=9/9/0/0/0 R:RecV=7/7/0/0/0 R:RecV=6/6/0/0/0 R:RecV=7/7/0/0/0 
1;3;MurallaVetas;HormigueroSenuelo;4242;22;19;Player;9;0;0;3;0;0;3;23;20;P:GuaV=2/3/3/0/0 P:RecV=11/11/0/0/0 P:RecV=9/9/0/0/0 R:RecV=8/8/0/0/0 R:RecV=9/9/0/0/0 R:SeñC=2/3/0/3/0 
1;4;MurallaVetas;Jauria;4242;19;16;Player;9;1;1;4;2;2;4;22;18;P:GuaV=2/2/4/0/0 P:RecV=12/12/0/0/0 P:RecV=5/8/0/2/1 R:CazC=2/2/1/2/0 R:CazV=6/6/1/0/0 R:RecV=8/10/0/2/1 
1;5;MurallaVetas;JauriaCentro;4242;20;20;None;9;2;1;1;0;0;1;24;24;P:GuaV=2/4/1/0/0 P:RecV=11/13/0/0/0 P:RecV=7/7/0/0/2 R:CazC=6/6/0/1/0 R:CazC=2/3/0/0/0 R:RecC=12/15/0/0/1 
1;6;MurallaVetas;Emboscada;4242;20;23;Rival;9;1;1;4;0;0;4;22;25;P:GuaV=0/0/4/0/0 P:RecV=10/12/0/0/0 P:RecV=10/10/0/0/1 R:CazV=6/6/0/1/0 R:SeñV=2/2/0/3/1 R:RecC=15/17/0/0/0 
1;7;MurallaVetas;Mixta;4242;16;18;Rival;9;3;2;4;1;1;4;23;18;P:GuaV=0/1/4/0/0 P:RecV=9/12/0/1/2 P:RecV=7/10/0/0/1 R:GuaC=2/2/0/1/0 R:CazC=6/6/1/0/0 R:RecV=10/10/0/3/2 
1;8;MurallaVetas;Codicia;4242;25;40;Rival;9;0;2;0;0;0;0;28;40;P:GuaV=6/6/0/0/0 P:RecV=10/10/0/0/0 P:RecV=9/12/0/0/0 R:RecC=13/13/0/0/1 R:RecC=13/13/0/0/1 R:RecC=14/14/0/0/0 
1;9;MurallaVetas;Escolta;4242;17;21;Rival;9;5;2;3;2;2;3;20;22;P:GuaV=0/1/3/2/0 P:RecV=10/12/0/0/2 P:RecV=7/7/0/0/3 R:CazC=4/4/0/2/0 R:CazV=5/5/2/0/0 R:RecC=12/13/0/1/2 
1;10;MurallaVetas;Senuelos;4242;16;20;Rival;9;3;1;3;0;0;3;16;23;P:GuaV=2/2/3/0/0 P:RecV=9/9/0/0/1 P:RecV=5/5/0/0/2 R:SeñC=3/4/0/2/0 R:SeñV=6/6/0/1/0 R:RecV=11/13/0/0/1 
1;11;MurallaVetas;DobleGuardia;4242;23;23;None;9;1;0;1;1;1;1;23;26;P:GuaV=2/2/1/1/0 P:RecV=12/12/0/0/0 P:RecV=9/9/0/0/1 R:GuaC=2/2/1/1/0 R:GuaV=9/9/0/0/0 R:RecC=12/15/0/0/0 
1;12;MurallaVetas;ContraJauria;4242;16;16;None;9;6;0;2;0;0;2;17;18;P:GuaV=2/2/2/0/0 P:RecV=6/7/0/0/4 P:RecV=8/8/0/0/2 R:GuaV=5/6/0/0/0 R:CazV=0/1/0/2/0 R:RecV=11/11/0/0/0 
1;13;MurallaVetas;Fortin;4242;17;23;Rival;9;5;0;2;2;2;2;22;24;P:GuaV=2/3/2/1/0 P:RecV=10/10/0/0/2 P:RecV=5/9/0/1/3 R:GuaC=4/4/1/0/0 R:CazV=4/4/1/1/0 R:RecC=15/16/0/1/0 
1;14;MurallaVetas;Engano;4242;23;27;Rival;9;0;4;1;0;0;1;23;30;P:GuaV=2/2/1/0/0 P:RecV=12/12/0/0/0 P:RecV=9/9/0/0/0 R:SeñC=3/3/0/1/2 R:RecC=12/14/0/0/1 R:RecC=12/13/0/0/1 
1;15;MurallaVetas;Rebano;4242;20;23;Rival;9;2;2;3;0;0;3;20;27;P:GuaV=0/0/3/0/0 P:RecV=10/10/0/0/2 P:RecV=10/10/0/0/0 R:RecC=10/13/0/2/1 R:RecV=13/13/0/0/0 R:SeñV=0/1/0/1/1 
2;0;Hormiguero;Muralla;4242;24;27;Rival;9;1;0;0;0;0;0;29;30;P:RecV=9/12/0/0/0 P:RecV=8/10/0/0/0 P:RecV=7/7/0/0/1 R:GuaC=0/0/0/0/0 R:RecC=12/15/0/0/0 R:RecC=15/15/0/0/0 
2;1;Hormiguero;MurallaVetas;4242;18;19;Rival;9;0;0;0;0;0;0;18;19;P:RecV=6/6/0/0/0 P:RecV=6/6/0/0/0 P:RecV=6/6/0/0/0 R:GuaV=6/6/0/0/0 R:RecV=5/5/0/0/0 R:RecV=8/8/0/0/0 
