i;j;player;rival;seed;pScore;rScore;winner;secs;pFled;rFled;pHits;rHits;pKnocked;rKnocked;pCol;rCol;detail
0;0;RosterA;RosterA;4242;11;15;Rival;10;2;2;2;5;5;2;14;17;P:CazC=0/1/1/2/0 P:RecV=7/8/0/1/2 P:GuaV=4/5/1/2/0 R:CazC=2/3/3/1/0 R:RecV=9/10/0/0/2 R:GuaV=4/4/2/1/0 
0;1;RosterA;RosterB;4242;9;13;Rival;10;2;4;2;3;3;2;14;14;P:CazC=0/2/1/2/0 P:RecV=9/9/0/0/2 P:GuaV=0/3/1/1/0 R:CazV=3/3/2/1/0 R:RecC=8/9/0/0/4 R:CazC=2/2/1/1/0 
0;2;RosterA;TresTimidos;4242;13;21;Rival;9;0;7;0;0;0;0;16;23;P:CazC=0/0/0/0/0 P:RecV=9/12/0/0/0 P:GuaV=4/4/0/0/0 R:RecC=4/6/0/0/5 R:RecV=8/8/0/0/1 R:RecV=9/9/0/0/1 
0;3;RosterA;TresOsados;4242;9;6;Player;11;2;0;5;8;8;5;14;9;P:CazC=3/4/3/4/0 P:RecV=4/7/0/2/2 P:GuaV=2/3/2/2/0 R:CazC=2/3/1/2/0 R:CazV=0/1/5/2/0 R:CazV=4/5/2/1/0 
0;4;RosterA;OsadosSociables;4242;15;16;Rival;10;1;1;1;5;5;1;17;16;P:CazC=0/0/1/4/0 P:RecV=9/11/0/0/1 P:GuaV=6/6/0/1/0 R:GuaC=0/0/4/1/0 R:GuaV=5/5/1/0/0 R:RecC=11/11/0/0/1 
0;5;RosterA;TimidosSolitarios;4242;13;5;Player;9;0;5;4;0;0;4;16;9;P:CazC=0/0/2/0/0 P:RecV=9/12/0/0/0 P:GuaV=4/4/2/0/0 R:SeñC=0/0/0/2/0 R:SeñV=0/2/0/1/1 R:RecC=5/7/0/1/4 
1;0;RosterB;RosterA;4242;9;12;Rival;9;3;2;2;3;3;2;11;12;P:CazV=0/0/2/1/0 P:RecC=7/7/0/1/3 P:CazC=2/4/0/1/0 R:CazC=2/2/2/0/0 R:RecV=10/10/0/0/2 R:GuaV=0/0/1/2/0 
1;1;RosterB;RosterB;4242;8;9;Rival;10;3;3;3;6;6;3;9;14;P:CazV=2/2/0/0/0 P:RecC=6/7/0/3/3 P:CazC=0/0/3/3/0 R:CazV=2/4/2/1/0 R:RecC=7/8/0/1/3 R:CazC=0/2/4/1/0 
1;2;RosterB;TresTimidos;4242;14;5;Player;9;0;18;4;0;0;4;19;10;P:CazV=0/2/2/0/0 P:RecC=12/15/0/0/0 P:CazC=2/2/2/0/0 R:RecC=3/5/0/2/5 R:RecV=0/3/0/2/7 R:RecV=2/2/0/0/6 
1;3;RosterB;TresOsados;4242;9;6;Player;10;4;0;4;3;3;4;13;8;P:CazV=0/2/3/1/0 P:RecC=9/9/0/0/4 P:CazC=0/2/1/2/0 R:CazC=1/2/1/2/0 R:CazV=4/4/1/1/0 R:CazV=1/2/1/1/0 
1;4;RosterB;OsadosSociables;4242;9;14;Rival;9;4;0;1;4;4;1;12;15;P:CazV=0/2/1/1/0 P:RecC=6/7/0/1/4 P:CazC=3/3/0/2/0 R:GuaC=0/0/3/0/0 R:GuaV=2/2/1/1/0 R:RecC=12/13/0/0/0 
1;5;RosterB;TimidosSolitarios;4242;14;5;Player;10;0;8;5;0;0;5;21;8;P:CazV=2/4/2/0/0 P:RecC=12/15/0/0/0 P:CazC=0/2/3/0/0 R:SeñC=0/0/0/0/5 R:SeñV=2/2/0/0/0 R:RecC=3/6/0/5/3 
2;0;TresTimidos;RosterA;4242;22;18;Player;9;5;0;0;1;1;0;24;20;P:RecC=6/7/0/1/4 P:RecV=9/10/0/0/0 P:RecV=7/7/0/0/1 R:CazC=3/3/1/0/0 R:RecV=9/11/0/0/0 R:GuaV=6/6/0/0/0 
2;1;TresTimidos;RosterB;4242;5;18;Rival;10;13;0;0;5;5;0;14;21;P:RecC=0/6/0/4/4 P:RecV=2/3/0/0/6 P:RecV=3/5/0/1/3 R:CazV=1/2/1/0/0 R:RecC=12/14/0/0/0 R:CazC=5/5/4/0/0 
2;2;TresTimidos;TresTimidos;4242;29;29;None;9;0;0;0;0;0;0;29;29;P:RecC=12/12/0/0/0 P:RecV=10/10/0/0/0 P:RecV=7/7/0/0/0 R:RecC=12/12/0/0/0 R:RecV=7/7/0/0/0 R:RecV=10/10/0/0/0 
